Track name,Album name,Release date,Popularity,Duration
Hands up!,Sassy Scene,2023-03-03,1,2:15
party addict,party addict,2023-05-01,0,2:05
i dont wna cry (haste),i dont wna cry,2023-01-14,59,2:01
Ти неймовірна,Ти неймовірна,2022-12-14,48,2:48
unravel,Fantastic Magic,2014-08-27,74,3:58
Gladiator,Gladiator,2022-10-14,66,3:31
Cha Cha Cha,Cha Cha Cha,2023-01-17,66,2:55
Dark Side,Dark Side,2021-01-21,51,2:57
Me and the Birds,Contemporary Movement,2000-08-22,69,1:35
Hurt,Ugly is Beautiful,2020-07-17,63,2:25
KICK BACK,KICK BACK,2022-10-12,75,3:13
Under the Tree,Under the Tree,2023-03-04,61,2:01
The Rumbling,The Rumbling,2022-02-07,47,3:40
Boku no Sensou,Boku no Sensou,2021-02-22,64,4:40
Heartbeat,Camp,2011-11-15,17,4:29
Автозак,Автозак,2021-08-25,41,3:20
заблокуйте цю пісню,заблокуйте цю пісню,2022-06-16,35,3:32
діти сатани,діти сатани,2022-04-30,40,2:24
руzzкий мир,руzzкий мир,2022-04-24,31,2:27
your favorite dress,CASTLES II,2021-07-02,1,2:57
Revenge,17,2017-08-25,85,2:00
Brianstorm,Favourite Worst Nightmare,2007-04-22,70,2:52
Where Is My Mind?,Death to the Pixies,1997-10-06,76,3:49
help_urself - breakcore,help_urself (Alternates),2021-09-10,46,1:58
Haunted,Haunted,2021-03-12,65,1:42
SPIT IN MY FACE!,SPIT IN MY FACE!,2022-11-01,2,2:27
Я вб'ю всіх богів,Я вб'ю всіх богів,2022-09-02,47,3:38
Силуети,Силуети,2022-10-28,62,2:57
LIKE YXU WXULD KNXW (AUTUMN TREES),LIKE YXU WXULD KNXW (AUTUMN TREES),2022-10-07,53,3:30
MISA MISA!,MISA MISA!,2022-08-26,1,1:25
Balling,Balling,2021-07-30,48,3:40
Dripoholic,MEDIV Luff N Sip,2022-08-19,0,2:01
moment,moment,2019-12-19,73,2:09
The Perfect Girl,The Perfect Girl,2021-12-08,78,3:14
Sweater Weather,I Love You.,2013-04-22,93,4:00
Young,Vibes,2016,81,3:09
Notion,Notion,2021-12-02,84,3:15
Jealous,Jealous,2019-12-06,83,2:02
After Dark,Time,2014-10-06,79,4:19
505,Favourite Worst Nightmare,2007-04-22,89,4:13
The Search,The Search,2019-07-26,76,4:08
Miss You,Miss You,2022-08-05,22,3:26
Gangsta's Paradise,Gangsta's Paradise,1995-11-07,88,4:00
Freaks,Freaks,2021-05-15,87,2:27
Can You Feel My Heart,Sempiternal (Expanded Edition),2013-04-01,79,3:48
Painkiller,Human,2015-03-30,73,2:59
ZITTI E BUONI,Teatro d'ira - Vol. I,2021-03-19,75,3:14
Beggin',Chosen,2017-12-08,86,3:31
Never Back Down,From Water to War,2014-01-21,54,3:23
War of Change,The End Is Where We Begin,2012-04-17,73,3:51
The Resistance,Unleashed,2016-08-05,74,3:52
Sweet Dreams (Are Made Of This),Smells Like Children,1995,62,4:53
Rise,Rise (Deluxe Edition),2013-06-21,65,4:20
Die MF Die,Life,2001-12-06,67,3:06
Popular Monster,Popular Monster,2019-11-20,72,3:40
I Hate Everything About You,Three Days Grace,2003-04-19,83,3:51
How You Remind Me,Silver Side Up,2001-09-11,87,3:43
Feel Good Inc.,Demon Days,2005-05-23,90,3:42
I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,2021-03-19,84,2:53
Monster,Awake,2009-08-21,82,2:58
Anthem Of The Lonely,World We View,2012-01-01,61,4:01
Seven Nation Army,Elephant,2003-04-01,86,3:52
Bring Me To Life,Fallen,2003-03-04,89,3:55
Take It Out On Me,Welcome To The Masquerade (Fan Edition),2009,68,3:17
In the End,Hybrid Theory (Bonus Edition),2000-10-24,90,3:36
Smells Like Teen Spirit,Nevermind (Remastered),1991-09-26,86,5:01
Hero,Awake,2009-08-21,77,3:06
